#V 5          ; A 5-vertex graph - more complex scenario
#P1 0.4       ; Higher P1 means stronger connection between flooding and evacuees

; Graph structure:
;    1 ---- 2
;    |      |
;    |      |
;    3 ---- 4 ---- 5
;
; Vertices 1 and 5 are far apart, but connected via multiple paths

#E1 1 2 W2 F 0.1  ; Edge1: 1--2, weight 2, low flood prob
#E2 1 3 W1 F 0.4  ; Edge2: 1--3, weight 1, high flood prob  
#E3 2 4 W2 F 0.2  ; Edge3: 2--4, weight 2, medium flood prob
#E4 3 4 W3 F 0.1  ; Edge4: 3--4, weight 3, low flood prob
#E5 4 5 W1 F 0.3  ; Edge5: 4--5, weight 1, medium-high flood prob

; Weather more likely to be bad
#W 0.2 0.3 0.5  ; P(mild)=0.2, P(stormy)=0.3, P(extreme)=0.5
